Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
219,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/219,NK014 : 蜈･蠎ｫ騾ｲ謐苓ｩｳ邏ｰ : Missing comma for numbers,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
"","" is missing for header area  

## References / Evidences  
**In OLD LOMOS**    
![image](/uploads/540b2c836f5422e54041bef8185a8ea3/image.png)  

**In NEW LOMOS**  
![image](/uploads/621fc14077ff01c1eb9c0775a75dd8fc/image.png)    

## Function With Error  
Comma indicator for numbers    

## What Error Occurred  
When number is over 4 digit, it should have comma for each fields,  
but in NEW LOMOS comma is missing.  
Please check for each cells like ""item"", ""case"", ""plan"", ""actual"" just in case.  
  
## Operation Procedure  
None  

## Expected Result  
Each number with more than 4 digit will have comma  

## Actual Result  
Missing comma  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Html pg mistake

## What was the root cause?  
Missing comma  

## How can this be prevented from next time?  
double check and compare UI screen 

## What was changed to resolve this?  
Html code

## How was it changed to resolve this?  
Update Html code  

## References / Evidences  
![image](/uploads/00109fadc9b5f3dce72fc884ea42bcc2/image.png)",Nomura,nomura,Kent Loong,kentloong,No,No,,2020/9/24 5:54,2020/9/25 7:08,2020/9/25 7:08,,,Defect-PT-InternalReview,0,0
220,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/220,NK014 : 蜈･蠎ｫ騾ｲ謐苓ｩｳ邏ｰ : Initial focus point mismatch,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
First focus is at different point when screen is initially opened.    

## References / Evidences  
**OLD LOMOS**  
Focus at dropdown
![image](/uploads/fcf175c09d21d8b3923eb5369ed71f19/image.png)    

**NEW LOMOS**  
Focus at deliver destination code  
![image](/uploads/d482d9f8e84cca6348869152606467dc/image.png)    

## Function With Error  
Focus  

## What Error Occurred  
Focus is at different place compared to old lomos  

## Operation Procedure  
None  

## Expected Result  
Focus at dropdown  

## Actual Result  
Enter how it was actually working  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Missing setfocus hidden input 

## What was the root cause?  
PG mistake 

## How can this be prevented from next time?  
double check the UI screen 

## What was changed to resolve this?  
Html code

## How was it changed to resolve this?  
add hidden input

## References / Evidences  
![image](/uploads/2d8fa2fd1287c56728a0d8dfd751909c/image.png)",Nomura,nomura,Kent Loong,kentloong,No,No,,2020/9/24 6:00,2020/9/28 1:13,2020/9/25 7:08,,,Defect-PT-InternalReview,0,0
221,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/221,NK014 : 蜈･蠎ｫ騾ｲ謐苓ｩｳ邏ｰ : Dropdown item names,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Code of first item is not shown  

## References / Evidences  
![image](/uploads/e8dc41a7bdc3a1f9163f2f797969b03d/image.png)  
  
## Function With Error  
Dropdown item  

## What Error Occurred  
I see that each item is shown in format ""code:name"".
But first item does not match that format.  

## Operation Procedure  
Click dropdown.  

## Expected Result  
Each item follow format ""code:name""  

## Actual Result  
1st item does not follow format.

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/24 7:25,2020/10/1 5:50,2020/10/1 5:50,,,"Defect-PT-InternalReview,Doing,QA",0,0
222,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/222,NK014 : 蜈･蠎ｫ騾ｲ謐苓ｩｳ邏ｰ : Tool Tips Missing,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Missing tool tips  

## References / Evidences  
Marked in red are things that needs tool tips  
![image](/uploads/4efbd4a55b4db18252dbd20f2e92e551/image.png)  

In excel, marked in yellow BG are things that needs tool tips  
![image](/uploads/125f52150d6c941574d943fe6a6106a9/image.png)

Expected tool tip to be shown, something like this  
![image](/uploads/e6ce3ce3fce25b7e4dd6656e1fc9377c/image.png)

## Function With Error  
There are no tool tips implemented    

## What Error Occurred  
Tool tip does not popup when cursor is on  

## Operation Procedure  
Place cursor over cells  

## Expected Result  
Tool tip pops up, showing full content  

## Actual Result  
No tool tip is shown  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Kent Loong,kentloong,No,No,,2020/9/24 7:30,2020/9/28 1:22,2020/9/28 1:22,,,Defect-PT-InternalReview,0,0
224,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/224,NK014 : 蜈･蠎ｫ騾ｲ謐苓ｩｳ邏ｰ : Progress Bar color update,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Progress Bar color is not same as OLD LOMOS  

## References / Evidences  
**In OLD LOMOS**  
![image](/uploads/4457865a45c0f5263e8057844e6ef9c1/image.png)  

**IN NEW LOMOS**  
![image](/uploads/c23c3e884c8fbf55cbc996bad3707bf8/image.png)  

## Function With Error  
Progress Bar color  

## What Error Occurred  
Color is fixed with dark blue  

## Operation Procedure  
In NK013, select 2nd button shown.
![image](/uploads/903f1fe277bea7bbcbb6411a1e54be6a/image.png)  

## Expected Result  
Color of 2nd progress bar becomes light blue, as in OLD LOMOS sample  

## Actual Result  
Color of 2nd progress bar stays as dark blue  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/24 10:27,2020/10/1 5:50,2020/10/1 5:50,,,"Defect-PT-InternalReview,Doing,QA",0,0
228,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/228,MS060 : 繝ｭ繧ｱ繝ｼ繧ｷ繝ｧ繝ｳ螻樊ｧ繝槭せ繧ｿ讀懃ｴ｢ : Add button position mismatch,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Enter summary here  

## References / Evidences  
In old lomos, add button is set to bottom from default.  
![image](/uploads/a99118769322233f17e519baed47cd4a/image.png)  
  
But in new lomos, add button is set right under header area.  
![image](/uploads/bd59a96284dd160f78cf177ae69b3659/image.png)

## Function With Error  
UI  

## What Error Occurred  
BUtton positioning is not same as old ver  

## Operation Procedure  
None  

## Expected Result  
Add button is at bottom  

## Actual Result  
Add button is right under header  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/29 7:16,2020/10/1 5:51,2020/10/1 5:51,,,Defect-PT-InternalReview,0,0
229,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/229,TN001 : 譽壼査邂｡逅・: System error caused when button is pressed,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
When button is pressed, system error is shown  

## References / Evidences  
When 1st, 3rd, 4th, 5th button on footer is pressed,  
System Error occurs  
![image](/uploads/0868509227903122fd53d41f99db3331/image.png)  
  
SYSTEM ERROR  
![image](/uploads/18011ad09d88b631b6f317cbcd5872df/image.png)  
  
  
## What Error Occurred  
System error  

## Operation Procedure  
1. Click either 1st, 3rd, 4th, 5th button on bottom  

## Expected Result  
No System Error.  
Screen transition / list export will not happen   

## Actual Result  
System error  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/29 9:01,2020/10/16 6:15,2020/10/16 6:15,,,Defect-PT-InternalReview,0,0
230,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/230,TN001 : 譽壼査邂｡逅・: White List count does not get updated,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Page count does not get added, when white list is exported.  

## References / Evidences  
![image](/uploads/5dc42fadf16b9b583c228cc386fdb6f4/image.png)  
  
## What Error Occurred  
Page count is not updated  

## Operation Procedure  
1. Enter any integer to ""white list add count"" text field
2. Press White List Export button on bottom  

## Expected Result  
1. Page Count gets added and updated for selectd item.   

## Actual Result  
System Error.  
Page Count is NOT updated.    

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,Nomura,nomura,No,No,,2020/9/29 9:19,2020/10/22 5:35,2020/10/22 5:35,,,Defect-PT-InternalReview,0,0
240,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/240,SK006 : 蜃ｺ闕ｷ螳溽ｸｾ遒ｺ螳・: Missing required field color,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Dropdown is not shown as required field  

## References / Evidences  
**In NEW LOMOS**  
![image](/uploads/af0a4c65b921819f9b1832fcfd8ff2f1/image.png)   
  
**In OLD LOMOS**    
![image](/uploads/a50539841b82dd25cc52094942aaeb7f/image.png)  
  
## Function With Error  
UI  

## What Error Occurred  
Dropdown is not visualized as required field  

## Operation Procedure  
None  

## Expected Result  
Dropdown is colored in required field color  

## Actual Result  
BG is white  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,AUT-Iskandar,iskandar,No,No,,2020/10/2 2:52,2020/10/5 0:57,2020/10/5 0:57,,,Defect-PT-InternalReview,0,0
241,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/241,SK006 : 蜃ｺ闕ｷ螳溽ｸｾ遒ｺ螳・: Button requested to hide is shown,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
Needs to Hide UI based on UI spec request    

## References / Evidences  
**UI Spec**
(red speech bubble say as follows  
1. Hide   
2. Apply feature, and then comment out  
)  
![image](/uploads/7c0d5675abc136a9bbc4a82db0733933/image.png)縲縲 

**In NEW LOMOS**  
![image](/uploads/6af300ecca3ef607cf5808c3240a4db5/image.png)  

## Function With Error  
UI  

## What Error Occurred  
UI expected to be hidden is shown  

## Operation Procedure  
1. Show table with 1 or more item.   

## Expected Result  
1. Button on table is hidden.  
(checkbox is still expected to be shown)     

## Actual Result  
1. Button is shown  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,AUT-Iskandar,iskandar,No,No,,2020/10/2 3:17,2020/10/5 0:57,2020/10/5 0:57,,,Defect-PT-InternalReview,0,0
242,http://10.164.174.152/dc2/emes/lomos-prod/-/issues/242,SK006 : 蜃ｺ闕ｷ螳溽ｸｾ遒ｺ螳・: System error when executing item,Closed,"'# 竊摘nter when creating defect issue竊・ 

## Defect Summary  
System error when execute is triggered  

## References / Evidences  
**Show item, select item**    
![image](/uploads/b1bee9a1c5103c7a8ca1e8d13c95d5e5/image.png)  

**Result after ""Execute**  
![image](/uploads/329f9bffcf79af7e49d8a06dd6d5d81c/image.png)  

**Data not updated**  
(expected 2013/04/17 to be be off the list after execute for all items of that date)  
![image](/uploads/77021023b35e00f39a64195b57ae1c31/image.png)  


## Function With Error  
Execute action  

## What Error Occurred  
1. System Error  
2. Data not updated    
 
## Operation Procedure  
1. Select date to show table
2. Check item in table
3. Click Execute button
4. Click OK for confirmation popup  

## Expected Result  
1. Data to be updated.
2. Message ""Process Complete"" is shown.  
3. Checked items to be not shown in this screen any more.
4. If all items of date was checked, date will be removed from dropdown. 

## Actual Result  
System Error  

---

# 竊摘nter when issue is resolved竊・ 

## What was the direct cause?  
Enter the direct cause of this  

## What was the root cause?  
Enter the root cause of this  

## How can this be prevented from next time?  
Enter how to prevent, so it will not happen in future  

## What was changed to resolve this?  
Enter which files/settings you have updated  

## How was it changed to resolve this?  
Enter what/how each files/settings have been updated  

## References / Evidences  
Paste screen capture after update",Nomura,nomura,AUT-Iskandar,iskandar,No,No,,2020/10/2 3:31,2020/10/5 0:57,2020/10/5 0:57,,,Defect-PT-InternalReview,0,0
